id,price,model,mileage,motorcycle_class,year,engine_capacity,engine_strokes,damaged,documents,city,date
88,270 000₽,Kawasaki Ninja ZX-6R,25 000 км,Спортивный,2007,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 октября
89,130 000₽,Racer Enduro RC250-XZR,600 км,Эндуро,2014,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 октября
90,335 000₽,Honda CBF 600S,29 000 км,Спорт-турист,2011,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 октября
91,270 000₽,Yamaha TDM 900,57 445 км,Туристический,2004,900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 октября
92,390 000₽,Yamaha Roadstar Warrior,25 000 км,Круизер,2003,1 700 куб. см.,4х тактный,Исправен,Есть ПТС,Видное,21 октября
93,1 000 000₽,Harley-Davidson Softail Custom FXSTC,3 000 км,Кастом,2008,1 584 куб. см.,2х тактный,Исправен,Есть ПТС,Москва,20 октября
94,2 000 000₽,Harley-Davidson Tri Glide Ultra FLHTCUTG,18 000 км,Трайк (трицикл),2016,1 600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 октября
95,2 000 000₽,Black Crown,5 000 км,Чоппер,2005,1 600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 октября
96,550 000₽,Yamaha MT-09,5 000 км,Стритфайтер,2015,850 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 октября
97,164 000₽,Husqvarna SM 510R,13 200 км,Мотард,2009,500 куб. см.,4х тактный,Исправен,Без ПТС,Москва,19 октября
98,300 000₽,Honda Steed 400,2 км,Чоппер,1994,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 октября
99,130 000₽,Yamaha FZ 400,79 000 км,Классика,1997,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 октября
100,280 000₽,Honda GL 1500,46 000 км,Туристический,1992,1 500 куб. см.,4х тактный,Исправен,Есть ПТС,Солнечногорск,18 октября
101,240 000₽,Kawasaki ER-6F,13 000 км,Спортивный,2009,650 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,18 октября
