id,price,model,mileage,motorcycle_class,year,engine_capacity,engine_strokes,damaged,documents,city,date
108,62 000₽,Yamaha TT-R,80 км,Эндуро,2012,125 куб. см.,4х тактный,Исправен,Без ПТС,Москва,25 сентября
109,450 000₽,Kawasaki Z 800,35 000 км,Стритфайтер,2014,800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,25 сентября
110,260 000₽,Kawasaki Ninja 300,18 900 км,Спортивный,2014,300 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,25 сентября
111,125 000₽,Yamaha XVS 400,54 000 км,Круизер,2000,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,25 сентября
112,125 000₽,Yamaha XVS 400,54 000 км,Круизер,2000,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,25 сентября
113,770 000₽,BMW R nineT,1 667 км,Классика,2014,1 200 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,24 сентября
115,57 000₽,Kawasaki ZZR 400,40 000 км,Спорт-турист,1994,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,23 сентября
116,135 000₽,Yamaha BIG SAM GMG 250 продаеться в керчи,1 400 км,Круизер,2014,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 сентября
117,295 000₽,Yamaha FZ 6,51 500 км,Спорт-турист,2008,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 сентября
118,130 000₽,Yamaha SRX 400,18 400 км,Классика,1990,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 сентября
119,130 000₽,Yamaha SRX 400,18 800 км,Классика,1990,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 сентября
121,350 000₽,Kawasaki VN Vulcan 900,2 300 км,Чоппер,2014,900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 сентября
122,450 000₽,Harley-Davidson V-Rod,18 000 км,Чоппер,2003,1 200 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,20 сентября
123,190 000₽,Yamaha XVS 400,29 000 км,Чоппер,2002,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 сентября
124,519 000₽,Yamaha Stratoliner,18 000 км,Чоппер,2006,1 900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 сентября
125,519 000₽,Yamaha Stratoliner,18 000 км,Чоппер,2006,1 900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 сентября
126,59 990₽,Yamaha,36 851 км,Классика,2014,125 куб. см.,2х тактный,Исправен,Есть ПТС,Москва,18 сентября
